1013: 1unique | 1count | 1013sum
1014: 3unique | 4count | 31sum
1015: 3unique | 3count | 41sum
1019: 1unique | 1count | 1019sum
1020: 4unique | 5count | 29sum
1021: 1unique | 1count | 1021sum
1025: 2unique | 3count | 51sum
1026: 3unique | 5count | 30sum
1027: 2unique | 2count | 92sum
1031: 1unique | 1count | 1031sum
1032: 3unique | 5count | 52sum
1033: 1unique | 1count | 1033sum
1037: 2unique | 2count | 78sum
1038: 3unique | 3count | 178sum
1039: 1unique | 1count | 1039sum
1043: 2unique | 2count | 156sum
1044: 3unique | 5count | 39sum
1045: 3unique | 3count | 35sum
1049: 1unique | 1count | 1049sum
1050: 4unique | 5count | 22sum
1051: 1unique | 1count | 1051sum
1055: 2unique | 2count | 216sum
1056: 3unique | 7count | 24sum
1057: 2unique | 2count | 158sum
1061: 1unique | 1count | 1061sum
1062: 3unique | 4count | 67sum
1063: 1unique | 1count | 1063sum
1067: 2unique | 2count | 108sum
1068: 3unique | 4count | 96sum
1069: 1unique | 1count | 1069sum
1073: 2unique | 2count | 66sum
1074: 3unique | 3count | 184sum
1075: 2unique | 3count | 53sum
1079: 2unique | 2count | 96sum
1080: 3unique | 7count | 20sum
1081: 2unique | 2count | 70sum
1085: 3unique | 3count | 43sum
1086: 3unique | 3count | 186sum
1087: 1unique | 1count | 1087sum
1091: 1unique | 1count | 1091sum
1092: 4unique | 5count | 27sum
1093: 1unique | 1count | 1093sum
1097: 1unique | 1count | 1097sum
1098: 3unique | 4count | 69sum
1099: 2unique | 2count | 164sum
1103: 1unique | 1count | 1103sum
1104: 3unique | 6count | 34sum
1105: 3unique | 3count | 35sum
1109: 1unique | 1count | 1109sum
1110: 4unique | 4count | 47sum
1111: 2unique | 2count | 112sum
1115: 2unique | 2count | 228sum
1116: 3unique | 5count | 41sum
1117: 1unique | 1count | 1117sum
1121: 2unique | 2count | 78sum
1122: 4unique | 4count | 33sum
1123: 1unique | 1count | 1123sum
1127: 2unique | 3count | 37sum
1128: 3unique | 5count | 56sum
1129: 1unique | 1count | 1129sum
1133: 2unique | 2count | 114sum
1134: 3unique | 6count | 21sum
1135: 2unique | 2count | 232sum
1139: 2unique | 2count | 84sum
1140: 4unique | 5count | 31sum
1141: 2unique | 2count | 170sum
1145: 2unique | 2count | 234sum
1146: 3unique | 3count | 196sum
1147: 2unique | 2count | 68sum
1151: 1unique | 1count | 1151sum
1152: 2unique | 9count | 20sum
1153: 1unique | 1count | 1153sum
1157: 2unique | 2count | 102sum
1158: 3unique | 3count | 198sum
1159: 2unique | 2count | 80sum
1163: 1unique | 1count | 1163sum
1164: 3unique | 4count | 104sum
1165: 2unique | 2count | 238sum
1169: 2unique | 2count | 174sum
1170: 4unique | 5count | 26sum
1171: 1unique | 1count | 1171sum
1175: 2unique | 3count | 57sum
1176: 3unique | 6count | 23sum
1177: 2unique | 2count | 118sum
1181: 1unique | 1count | 1181sum
1182: 3unique | 3count | 202sum
1183: 2unique | 3count | 33sum
1187: 1unique | 1count | 1187sum
1188: 3unique | 6count | 24sum
1189: 2unique | 2count | 70sum
1193: 1unique | 1count | 1193sum
1194: 3unique | 3count | 204sum
1195: 2unique | 2count | 244sum
1199: 2unique | 2count | 120sum
1200: 3unique | 7count | 21sum
1201: 1unique | 1count | 1201sum
1205: 2unique | 2count | 246sum
1206: 3unique | 4count | 75sum
1207: 2unique | 2count | 88sum
1211: 2unique | 2count | 180sum
1212: 3unique | 4count | 108sum
1213: 1unique | 1count | 1213sum
1217: 1unique | 1count | 1217sum
1218: 4unique | 4count | 41sum
1219: 2unique | 2count | 76sum
1223: 1unique | 1count | 1223sum
1224: 3unique | 6count | 29sum
1225: 2unique | 4count | 24sum
1229: 1unique | 1count | 1229sum
1230: 4unique | 4count | 51sum
1231: 1unique | 1count | 1231sum
1235: 3unique | 3count | 37sum
