136146: 3unique | 3count | 22696sum
136147: 2unique | 2count | 12388sum
136151: 2unique | 2count | 960sum
136152: 4unique | 7count | 104sum
136153: 2unique | 2count | 8026sum
136157: 3unique | 3count | 427sum
136158: 4unique | 4count | 2079sum
136159: 2unique | 2count | 2944sum
136163: 1unique | 1count | 136163sum
136164: 4unique | 5count | 1635sum
136165: 3unique | 3count | 359sum
136169: 2unique | 2count | 12390sum
136170: 5unique | 6count | 119sum
136171: 2unique | 4count | 418sum
136175: 3unique | 4count | 442sum
136176: 3unique | 6count | 2848sum
136177: 1unique | 1count | 136177sum
136181: 2unique | 2count | 3210sum
136182: 3unique | 3count | 22702sum
136183: 3unique | 3count | 245sum
136187: 2unique | 2count | 8028sum
136188: 4unique | 7count | 123sum
136189: 1unique | 1count | 136189sum
136193: 1unique | 1count | 136193sum
136194: 3unique | 3count | 22704sum
136195: 2unique | 2count | 27244sum
136199: 2unique | 2count | 19464sum
136200: 4unique | 7count | 246sum
136201: 2unique | 2count | 10490sum
136205: 2unique | 2count | 27246sum
136206: 5unique | 6count | 85sum
136207: 1unique | 1count | 136207sum
136211: 3unique | 3count | 193sum
136212: 3unique | 4count | 11358sum
136213: 4unique | 4count | 108sum
136217: 1unique | 1count | 136217sum
136218: 4unique | 4count | 389sum
136219: 2unique | 2count | 940sum
136223: 1unique | 1count | 136223sum
136224: 4unique | 9count | 70sum
136225: 2unique | 3count | 5459sum
136229: 2unique | 2count | 5946sum
136230: 5unique | 5count | 268sum
136231: 2unique | 2count | 2368sum
136235: 3unique | 3count | 2493sum
136236: 3unique | 4count | 11360sum
136237: 1unique | 1count | 136237sum
136241: 2unique | 2count | 19470sum
136242: 3unique | 7count | 72sum
136243: 2unique | 2count | 3364sum
136247: 1unique | 1count | 136247sum
136248: 4unique | 6count | 827sum
136249: 3unique | 3count | 191sum
136253: 3unique | 3count | 283sum
136254: 3unique | 3count | 22714sum
136255: 4unique | 4count | 258sum
136259: 2unique | 2count | 1620sum
136260: 4unique | 6count | 772sum
136261: 1unique | 1count | 136261sum
136265: 2unique | 2count | 27258sum
136266: 4unique | 4count | 1765sum
136267: 2unique | 2count | 3212sum
136271: 3unique | 3count | 193sum
136272: 4unique | 7count | 195sum
136273: 1unique | 1count | 136273sum
136277: 1unique | 1count | 136277sum
136278: 4unique | 5count | 188sum
136279: 3unique | 3count | 977sum
136283: 2unique | 2count | 19476sum
136284: 4unique | 5count | 325sum
136285: 3unique | 3count | 383sum
136289: 2unique | 2count | 8034sum
136290: 6unique | 6count | 87sum
136291: 2unique | 2count | 1940sum
136295: 2unique | 2count | 27264sum
136296: 3unique | 7count | 646sum
136297: 2unique | 2count | 19478sum
136301: 2unique | 2count | 12402sum
136302: 3unique | 3count | 22722sum
136303: 1unique | 1count | 136303sum
136307: 2unique | 2count | 4428sum
136308: 4unique | 5count | 351sum
136309: 1unique | 1count | 136309sum
136313: 2unique | 2count | 774sum
136314: 3unique | 4count | 7581sum
136315: 3unique | 3count | 341sum
136319: 1unique | 1count | 136319sum
136320: 4unique | 10count | 93sum
136321: 2unique | 2count | 5950sum
136325: 4unique | 5count | 77sum
136326: 3unique | 3count | 22726sum
136327: 1unique | 1count | 136327sum
136331: 2unique | 2count | 10500sum
136332: 4unique | 6count | 558sum
136333: 1unique | 1count | 136333sum
136337: 1unique | 1count | 136337sum
136338: 4unique | 4count | 769sum
136339: 2unique | 2count | 19484sum
136343: 1unique | 1count | 136343sum
136344: 5unique | 7count | 64sum
136345: 4unique | 4count | 120sum
136349: 2unique | 2count | 2370sum
136350: 4unique | 7count | 122sum
136351: 1unique | 1count | 136351sum
136355: 2unique | 2count | 27276sum
136356: 4unique | 5count | 1051sum
136357: 3unique | 3count | 647sum
136361: 1unique | 1count | 136361sum
136362: 3unique | 3count | 22732sum
136363: 2unique | 2count | 7196sum
136367: 3unique | 5count | 59sum
136368: 3unique | 7count | 961sum
136369: 3unique | 3count | 167sum
136373: 1unique | 1count | 136373sum
136374: 5unique | 5count | 220sum
136375: 2unique | 4count | 1106sum
136379: 1unique | 1count | 136379sum
136380: 4unique | 5count | 2285sum
136381: 2unique | 2count | 19490sum
136385: 2unique | 2count | 27282sum
136386: 3unique | 4count | 7585sum
136387: 2unique | 2count | 4732sum
136391: 3unique | 3count | 201sum
136392: 3unique | 5count | 5692sum
136393: 1unique | 1count | 136393sum
136397: 1unique | 1count | 136397sum
136398: 4unique | 4count | 311sum
136399: 1unique | 1count | 136399sum
136403: 1unique | 1count | 136403sum
136404: 3unique | 7count | 437sum
136405: 2unique | 2count | 27286sum
136409: 3unique | 3count | 1519sum
136410: 4unique | 4count | 4557sum
136411: 2unique | 2count | 12412sum
136415: 2unique | 2count | 27288sum
136416: 4unique | 9count | 56sum
136417: 1unique | 1count | 136417sum
136421: 1unique | 1count | 136421sum
136422: 5unique | 6count | 85sum
136423: 2unique | 2count | 19496sum
136427: 2unique | 2count | 828sum
136428: 3unique | 4count | 11376sum
136429: 1unique | 1count | 136429sum
136433: 3unique | 3count | 247sum
136434: 3unique | 3count | 22744sum
136435: 3unique | 3count | 2117sum
136439: 3unique | 3count | 229sum
136440: 4unique | 7count | 396sum
136441: 2unique | 2count | 2950sum
136445: 3unique | 3count | 975sum
136446: 3unique | 3count | 22746sum
136447: 1unique | 1count | 136447sum
136451: 3unique | 3count | 301sum
136452: 4unique | 5count | 227sum
136453: 1unique | 1count | 136453sum
136457: 2unique | 2count | 2298sum
136458: 4unique | 7count | 56sum
136459: 3unique | 3count | 389sum
136463: 1unique | 1count | 136463sum
136464: 3unique | 6count | 2854sum
136465: 3unique | 4count | 576sum
136469: 2unique | 2count | 810sum
136470: 4unique | 4count | 4559sum
136471: 1unique | 1count | 136471sum
136475: 3unique | 4count | 166sum
136476: 4unique | 6count | 250sum
136477: 3unique | 3count | 683sum
136481: 1unique | 1count | 136481sum
136482: 4unique | 5count | 94sum
136483: 1unique | 1count | 136483sum
136487: 2unique | 2count | 10512sum
136488: 4unique | 7count | 78sum
136489: 2unique | 2count | 3370sum
136493: 4unique | 4count | 92sum
136494: 3unique | 4count | 7591sum
136495: 2unique | 2count | 27304sum
136499: 2unique | 2count | 12420sum
136500: 5unique | 8count | 42sum
136501: 1unique | 1count | 136501sum
136505: 3unique | 3count | 1215sum
136506: 3unique | 3count | 22756sum
136507: 2unique | 2count | 19508sum
136511: 1unique | 1count | 136511sum
136512: 3unique | 10count | 100sum
136513: 2unique | 2count | 10514sum
136517: 2unique | 2count | 858sum
136518: 4unique | 4count | 439sum
136519: 1unique | 1count | 136519sum
136523: 1unique | 1count | 136523sum
136524: 4unique | 5count | 405sum
136525: 3unique | 4count | 180sum
136529: 2unique | 2count | 750sum
136530: 5unique | 6count | 91sum
136531: 1unique | 1count | 136531sum
136535: 4unique | 4count | 142sum
136536: 3unique | 5count | 5698sum
136537: 1unique | 1count | 136537sum
136541: 1unique | 1count | 136541sum
136542: 4unique | 4count | 3263sum
136543: 2unique | 2count | 12424sum
136547: 1unique | 1count | 136547sum
136548: 3unique | 5count | 3803sum
136549: 2unique | 2count | 19514sum
136553: 2unique | 2count | 7206sum
136554: 4unique | 4count | 2085sum
136555: 3unique | 3count | 917sum
136559: 1unique | 1count | 136559sum
136560: 4unique | 7count | 585sum
136561: 3unique | 3count | 323sum
136565: 4unique | 4count | 220sum
136566: 3unique | 7count | 298sum
136567: 2unique | 2count | 3728sum
136571: 2unique | 2count | 3372sum
136572: 4unique | 5count | 625sum
136573: 1unique | 1count | 136573sum
136577: 3unique | 3count | 295sum
136578: 5unique | 5count | 138sum
136579: 2unique | 2count | 2300sum
136583: 2unique | 2count | 1944sum
136584: 4unique | 7count | 290sum
136585: 3unique | 3count | 527sum
136589: 2unique | 2count | 1134sum
136590: 5unique | 5count | 196sum
