76525: 2unique | 3count | 3071sum
76529: 2unique | 2count | 846sum
76530: 4unique | 4count | 2561sum
76531: 3unique | 4count | 78sum
76535: 2unique | 2count | 15312sum
76536: 3unique | 6count | 1075sum
76537: 1unique | 1count | 76537sum
76541: 1unique | 1count | 76541sum
76542: 3unique | 3count | 12762sum
76543: 1unique | 1count | 76543sum
76547: 2unique | 2count | 1908sum
76548: 3unique | 4count | 6386sum
76549: 2unique | 2count | 6970sum
76553: 2unique | 2count | 2106sum
76554: 3unique | 4count | 4261sum
76555: 3unique | 3count | 317sum
76559: 2unique | 2count | 10944sum
76560: 5unique | 8count | 56sum
76561: 1unique | 1count | 76561sum
76565: 2unique | 2count | 15318sum
76566: 4unique | 4count | 1835sum
76567: 2unique | 2count | 3352sum
76571: 2unique | 2count | 6972sum
76572: 3unique | 6count | 722sum
76573: 2unique | 2count | 10946sum
76577: 2unique | 2count | 1122sum
76578: 3unique | 3count | 12768sum
76579: 1unique | 1count | 76579sum
76583: 3unique | 3count | 193sum
76584: 3unique | 5count | 3200sum
76585: 3unique | 4count | 92sum
76589: 3unique | 3count | 187sum
76590: 5unique | 6count | 73sum
76591: 2unique | 2count | 592sum
76595: 2unique | 2count | 15324sum
