989: 2count | 2sum
990: 4count | 5sum
991: 1count | 1sum
992: 2count | 6sum
993: 2count | 2sum
994: 3count | 3sum
995: 2count | 2sum
996: 3count | 4sum
997: 1count | 1sum
998: 2count | 2sum
999: 2count | 4sum
1000: 2count | 6sum
1001: 3count | 3sum
1002: 3count | 3sum
1003: 2count | 2sum
1004: 2count | 3sum
1005: 3count | 3sum
1006: 2count | 2sum
1007: 2count | 2sum
1008: 3count | 7sum
1009: 1count | 1sum
1010: 3count | 3sum
1011: 2count | 2sum
1012: 3count | 4sum
1013: 1count | 1sum
1014: 3count | 4sum
1015: 3count | 3sum
1016: 2count | 4sum
1017: 2count | 3sum
1018: 2count | 2sum
1019: 1count | 1sum
1020: 4count | 5sum
1021: 1count | 1sum
1022: 3count | 3sum
1023: 3count | 3sum
1024: 1count | 10sum
1025: 2count | 3sum
1026: 3count | 5sum
1027: 2count | 2sum
1028: 2count | 3sum
1029: 2count | 4sum
1030: 3count | 3sum
1031: 1count | 1sum
1032: 3count | 5sum
1033: 1count | 1sum
1034: 3count | 3sum
1035: 3count | 4sum
1036: 3count | 4sum
1037: 2count | 2sum
1038: 3count | 3sum
1039: 1count | 1sum
1040: 3count | 6sum
1041: 2count | 2sum
1042: 2count | 2sum
1043: 2count | 2sum
1044: 3count | 5sum
1045: 3count | 3sum
1046: 2count | 2sum
1047: 2count | 2sum
1048: 2count | 4sum
1049: 1count | 1sum
1050: 4count | 5sum
1051: 1count | 1sum
1052: 2count | 3sum
1053: 2count | 5sum
1054: 3count | 3sum
1055: 2count | 2sum
1056: 3count | 7sum
1057: 2count | 2sum
1058: 2count | 3sum
1059: 2count | 2sum
1060: 3count | 4sum
1061: 1count | 1sum
1062: 3count | 4sum
1063: 1count | 1sum
1064: 3count | 5sum
1065: 3count | 3sum
1066: 3count | 3sum
1067: 2count | 2sum
1068: 3count | 4sum
1069: 1count | 1sum
1070: 3count | 3sum
1071: 3count | 4sum
1072: 2count | 5sum
1073: 2count | 2sum
1074: 3count | 3sum
1075: 2count | 3sum
1076: 2count | 3sum
1077: 2count | 2sum
1078: 3count | 4sum
1079: 2count | 2sum
1080: 3count | 7sum
1081: 2count | 2sum
1082: 2count | 2sum
1083: 2count | 3sum
1084: 2count | 3sum
1085: 3count | 3sum
1086: 3count | 3sum
1087: 1count | 1sum
1088: 2count | 7sum
1089: 2count | 4sum
1090: 3count | 3sum
1091: 1count | 1sum
1092: 4count | 5sum
1093: 1count | 1sum
1094: 2count | 2sum
1095: 3count | 3sum
1096: 2count | 4sum
1097: 1count | 1sum
1098: 3count | 4sum
1099: 2count | 2sum
1100: 3count | 5sum
1101: 2count | 2sum
1102: 3count | 3sum
1103: 1count | 1sum
1104: 3count | 6sum
1105: 3count | 3sum
1106: 3count | 3sum
1107: 2count | 4sum
1108: 2count | 3sum
1109: 1count | 1sum
1110: 4count | 4sum
1111: 2count | 2sum
1112: 2count | 4sum
1113: 3count | 3sum
1114: 2count | 2sum
1115: 2count | 2sum
1116: 3count | 5sum
1117: 1count | 1sum
1118: 3count | 3sum
1119: 2count | 2sum
1120: 3count | 7sum
1121: 2count | 2sum
1122: 4count | 4sum
1123: 1count | 1sum
1124: 2count | 3sum
1125: 2count | 5sum
1126: 2count | 2sum
1127: 2count | 3sum
1128: 3count | 5sum
1129: 1count | 1sum
1130: 3count | 3sum
1131: 3count | 3sum
1132: 2count | 3sum
1133: 2count | 2sum
1134: 3count | 6sum
1135: 2count | 2sum
1136: 2count | 5sum
1137: 2count | 2sum
1138: 2count | 2sum
1139: 2count | 2sum
1140: 4count | 5sum
1141: 2count | 2sum
1142: 2count | 2sum
1143: 2count | 3sum
1144: 3count | 5sum
1145: 2count | 2sum
1146: 3count | 3sum
1147: 2count | 2sum
1148: 3count | 4sum
1149: 2count | 2sum
1150: 3count | 4sum
1151: 1count | 1sum
1152: 2count | 9sum
1153: 1count | 1sum
1154: 2count | 2sum
1155: 4count | 4sum
1156: 2count | 4sum
1157: 2count | 2sum
1158: 3count | 3sum
1159: 2count | 2sum
