14751: 3uniques | 4count | 166sum
14752: 2uniques | 6count | 471sum
14753: 1uniques | 1count | 0sum
14754: 3uniques | 3count | 2464sum
14755: 3uniques | 3count | 245sum
14756: 4uniques | 5count | 59sum
14757: 2uniques | 2count | 4922sum
14758: 3uniques | 3count | 206sum
14759: 1uniques | 1count | 0sum
14760: 4uniques | 7count | 58sum
14761: 2uniques | 2count | 538sum
14762: 3uniques | 4count | 85sum
14763: 4uniques | 4count | 66sum
14764: 2uniques | 3count | 3695sum
14765: 2uniques | 2count | 2958sum
14766: 4uniques | 4count | 135sum
